,Rank,Server,Name,Elo,LP,Win,Win%
42,43,BR,FA celo,Challenger,1217,221,55.0
43,44,KR,postersontwall,Challenger,1215,556,52.5
44,45,BR,jujuzz,Challenger,1212,182,58.1
45,46,OCE,ORD Chungy,Challenger,1211,288,54.9
46,47,OCE,originalpainting,Challenger,1209,416,52.1
47,48,LAN,Parabellum,Challenger,1209,245,57.9
48,49,NA,Shadyy,Challenger,1209,169,57.7
49,50,KR,ndbg,Challenger,1206,156,57.1
50,51,EUW,AST MagiFelix,Challenger,1205,315,56.0
51,52,KR,곽곽보성,Challenger,1199,208,57.5
52,53,EUW,20211000,Challenger,1198,92,66.7
53,54,NA,AnDa,Challenger,1197,256,54.2
54,55,OCE,PCE Kevy,Challenger,1196,167,54.8
55,56,BR,tiosatan,Challenger,1196,140,56.7
56,57,EUNE,Tjockpung,Challenger,1188,188,56.6
57,58,EUW,Blοws a bit,Challenger,1184,246,57.1
58,59,KR,BRO Delight,Challenger,1176,317,53.9
59,60,EUNE,Necromartin,Challenger,1176,272,54.8
60,61,KR,rzddyxbgj,Challenger,1171,395,55.1
61,62,BR,FLA Bounty,Challenger,1164,250,54.8
62,63,KR,shenzhenshaoye,Challenger,1163,275,57.4
63,64,KR,T1 Gumayusi,Challenger,1159,471,52.3
64,65,EUW,A Do Sola Diatas,Challenger,1156,119,60.7
65,66,KR,정훈이의 모험,Challenger,1153,164,59.6
66,67,NA,markyetterl0w,Challenger,1153,136,61.3
67,68,KR,Liiv Croco,Challenger,1152,171,57.2
68,69,BR,Grevzin,Challenger,1151,283,54.3
69,70,EUNE,Coatpustmain,Challenger,1151,134,59.0
70,71,KR,KT Rebel,Challenger,1144,318,54.0
71,72,NA,sallyeojuseyo,Challenger,1142,277,54.2
72,73,BR,Enga,Challenger,1139,256,52.9
73,74,LAS,triceratops,Challenger,1133,220,56.3
74,75,KR,AF Le5,Challenger,1131,513,52.6
75,76,LAS,Lithium,Challenger,1130,358,54.0
76,77,NA,100 Kenvi,Challenger,1128,139,57.7
77,78,BR,Jockster1,Challenger,1127,242,55.1
78,79,BR,MIDKING0,Challenger,1127,221,54.4
79,80,EUNE,TTVlateroviann99,Challenger,1124,238,55.7
80,81,NA,Bradley LFT,Challenger,1117,290,53.8
81,82,BR,xypherz,Challenger,1115,180,56.3
82,83,BR,PIJACK,Challenger,1114,509,51.5
83,84,NA,jojopyun 16,Challenger,1114,164,56.7
84,85,NA,YETTER JG WINS,Challenger,1114,158,54.9
85,86,NA,TF Blade,Challenger,1107,321,53.5
86,87,KR,Liiv Route,Challenger,1105,394,54.0
87,88,EUW,toucouille,Challenger,1104,158,58.5
88,89,KR,wu guan feng yue,Challenger,1103,450,53.4
89,90,KR,KT Way,Challenger,1103,328,54.3
90,91,BR,Aryze,Challenger,1103,126,57.5
91,92,EUW,FNC Danghwang,Challenger,1103,125,63.5
92,93,NA,FG Bugi1,Challenger,1101,114,63.0
93,94,KR,담원기아김동,Challenger,1097,179,57.7
94,95,OCE,Frosts,Challenger,1097,127,62.6
95,96,NA,Hyper,Challenger,1096,355,53.1
96,97,JP,はいばら,Challenger,1093,169,53.8
97,98,BR,Cisne De GeIo,Challenger,1086,94,55.3
98,99,KR,biechibiech1,Challenger,1085,267,59.3
99,100,LAS,PanchittoooKayn,Challenger,1085,192,58.0
100,101,KR,duibuqiman,Challenger,1084,234,57.6
101,102,JP,ヤスオ侍,Challenger,1083,122,58.1
102,103,EUW,Sawyor,Challenger,1080,498,52.8
103,104,NA,no invade pls,Challenger,1076,304,54.5
104,105,BR,zuaozito mecmelt,Challenger,1075,429,52.8
105,106,BR,mingvinidayslim,Challenger,1075,179,56.6
106,107,EUW,Kirei sama,Challenger,1075,167,59.0
107,108,EUW,XZX,Challenger,1075,110,64.3
108,109,BR,UND Wiz,Challenger,1074,206,59.5
109,110,EUNE,Litny,Challenger,1071,100,58.8
110,111,EUW,G2 Martin 6,Challenger,1069,248,56.2
111,112,BR,VINl1,Challenger,1069,178,57.1
112,113,KR,Gen G Clid,Challenger,1067,357,53.9
113,114,LAN,Š            xo,Challenger,1067,135,63.1
114,115,BR,netuno my dog,Challenger,1066,200,54.8
115,116,BR,RedBert,Challenger,1066,193,55.0
116,117,EUW,Yukii Tsunoda,Challenger,1064,109,56.2
117,118,KR,tcdmssdg,Challenger,1061,197,55.5
118,119,KR,BRO Roamer,Challenger,1060,233,57.0
119,120,EUNE,I am Sobek,Challenger,1060,137,57.6
120,121,EUW,manjushage,Challenger,1056,74,67.9
121,122,KR,invest for me,Challenger,1054,112,58.0
122,123,OCE,Vietnamese Chovy,Challenger,1051,420,51.4
123,124,NA,Son,Challenger,1050,95,56.5
124,125,BR,jvcki wai,Challenger,1048,80,64.0
125,126,BR,é o sleepy,Challenger,1046,243,55.6
126,127,KR,iirugun,Challenger,1044,261,57.4
127,128,BR,Ancrath FA,Challenger,1043,245,54.7
128,129,BR,netunim,Challenger,1042,116,56.9
129,130,KR,HLE Deft1,Challenger,1040,296,54.2
130,131,EUW,snmvk,Challenger,1040,231,56.9
131,132,KR,yao yuan de ta,Challenger,1039,269,56.9
132,133,BR,flare9,Challenger,1038,144,56.0
133,134,EUNE,bxbygirl,Challenger,1036,163,55.1
134,135,EUW,lts a process,Challenger,1035,167,58.2
135,136,BR,5gak,Challenger,1034,174,57.8
136,137,EUW,Iziio,Challenger,1034,122,57.5
137,138,OCE,I JUST WNA DANCE,Challenger,1033,240,52.1
138,139,KR,Iove galio,Challenger,1027,296,54.5
139,140,KR,난 이제 악마다,Challenger,1026,351,53.4
140,141,NA,5fire,Challenger,1026,137,55.5
141,142,BR,deepest desire,Challenger,1025,187,58.4
142,143,EUNE,NLE Chakra,Challenger,1024,208,57.0
143,144,KR,stan7,Challenger,1024,198,60.0
144,145,BR,Tutsz,Challenger,1023,183,55.6
145,146,EUW,nobody knows0,Challenger,1023,140,59.1
146,147,NA,Busio3,Challenger,1022,198,55.6
147,148,BR,Yùndòngyuán,Challenger,1022,135,56.7
148,149,KR,XOOXOOXOOXOOX,Challenger,1020,123,60.0
149,150,KR,쿠 리,Challenger,1019,304,55.5
150,151,BR,all in summer,Challenger,1018,74,64.3
151,152,BR,Loop,Challenger,1015,285,53.1
152,153,EUNE,DarkSilver,Challenger,1013,100,63.7
153,154,OCE,Ręd,Challenger,1013,77,63.6
154,155,NA,karasuno setter,Challenger,1011,157,58.1
155,156,BR,Hibernate,Challenger,1011,131,58.7
156,157,KR,Gen G Burdol,Challenger,1010,142,61.7
157,158,BR,ninjakiwi123,Challenger,1008,403,51.9
158,159,TR,Fâne,Challenger,1008,296,61.4
159,160,BR,Quindinho,Challenger,1007,426,52.5
160,161,EUW,maciej wartak,Challenger,1006,193,57.8
161,162,NA,TL Yeon,Challenger,1006,125,57.3
162,163,EUNE,K2 Hecarim,Challenger,1006,94,59.1
163,164,KR,mofu weizhen,Challenger,1005,401,52.9
164,165,BR,cici,Challenger,1004,153,56.0
165,166,EUNE,egirlpeedrinker9,Challenger,1003,224,54.6
166,167,EUW,GMB Lekcyc,Challenger,1003,208,55.2
167,168,OCE,TwitchTv Dragku,Challenger,1003,160,53.2
168,169,BR,RED Flare,Challenger,1001,351,53.8
169,170,EUNE,M4CI3KonSK44RL,Challenger,1001,98,60.1
170,171,EUW,Joker z Sosnowca,Challenger,1000,162,56.4
171,172,KR,black linyue,Challenger,1000,94,72.9
172,173,EUW,Hwang Shi Mok,Challenger,998,424,53.9
173,174,BR,Drakehero,Challenger,998,296,53.4
174,175,KR,tes 740565123,Challenger,997,388,53.0
175,176,EUNE,such a failure,Challenger,997,213,55.5
176,177,LAS,Baby Upset,Challenger,993,182,60.1
177,178,OCE,Prae1us,Challenger,993,113,56.8
178,179,EUNE,5723458194302134,Challenger,993,77,60.2
179,180,KR,푹 쉬면서 해요,Challenger,989,381,55.9
180,181,KR,long yan jing yi,Challenger,988,167,60.1
181,182,KR,BRO Hena,Challenger,987,447,52.5
182,183,BR,Mattsz,Challenger,987,297,54.7
183,184,EUW,ismaaa,Challenger,986,203,56.5
184,185,EUNE,Samael,Challenger,983,148,62.7
185,186,NA,RAHULK1,Challenger,983,126,60.0
186,187,JP,Clover,Challenger,983,93,55.4
187,188,KR,KT Castle,Challenger,982,327,53.5
188,189,BR,a Seithr,Challenger,980,254,52.9
189,190,NA,Dahyun x Twice,Challenger,977,95,64.6
190,191,OCE,CARB0N,Challenger,976,331,52.5
191,192,BR,accezzz 21,Challenger,975,112,57.1
192,193,KR,느낌없구리,Challenger,973,194,57.6
193,194,EUNE,Ðžejno,Challenger,973,106,60.6
194,195,EUNE,Audire,Challenger,972,165,53.6
195,196,BR,trap,Challenger,972,112,58.6
196,197,BR,kadaki,Challenger,971,596,51.2
197,198,EUW,Agurin,Challenger,971,242,55.4
198,199,NA,APA1,Challenger,970,123,58.9
199,200,KR,Juhana,Challenger,969,453,52.2
200,201,NA,Full Clear 123,Challenger,969,162,59.8
201,202,BR,Porttinari,Challenger,969,106,60.9
202,203,KR,FA MlD,Challenger,968,264,55.0
203,204,EUW,weixin PaoPaoPW,Challenger,967,145,59.7
204,205,RU,Slaytеr,Challenger,966,172,52.9
205,206,EUW,qweasdf,Challenger,965,238,54.1
206,207,KR,dcybb,Challenger,963,249,57.2
207,208,KR,구마유시S2,Challenger,960,148,59.7
208,209,BR,TheBrance,Challenger,959,370,52.0
209,210,NA,100 Closer,Challenger,959,154,55.6
210,211,EUW,Ploxy,Challenger,958,149,57.3
211,212,EUNE,dumb eboy,Challenger,958,106,58.9
212,213,KR,HLE Morgan1,Challenger,956,199,56.7
213,214,EUW,big bunda still,Challenger,956,179,55.9
214,215,EUW,Dzukill,Challenger,955,189,56.3
215,216,BR,VRX Disamis,Challenger,955,117,58.5
216,217,BR,Wukong,Challenger,954,94,60.3
217,218,EUW,MSF Sertuss,Challenger,953,441,53.1
218,219,BR,no one knows us,Challenger,951,196,54.1
219,220,BR,Vagabundocosmico,Challenger,950,298,53.4
220,221,KR,happy   game,Challenger,949,297,54.3
221,222,BR,dimilol,Challenger,949,136,57.4
222,223,KR,Twitch하얗고예쁨,Challenger,948,176,59.3
223,224,EUNE,Δˉˉ,Challenger,948,72,58.5
224,225,EUW,Marky Barky,Challenger,947,172,56.6
225,226,BR,twtv damagelol1,Challenger,945,159,57.0
226,227,BR,trisagion,Challenger,945,157,56.3
227,228,KR,Hidere,Challenger,943,225,56.1
228,229,BR,DK Barril,Challenger,942,177,54.6
229,230,KR,BRO Jeong Hoon,Challenger,941,197,57.3
230,231,BR,letd0wn,Challenger,937,184,55.4
231,232,OCE,Desire0,Challenger,935,136,53.5
232,233,NA,HAMZ SAMA,Challenger,933,158,56.4
233,234,KR,axczsdasd,Challenger,932,140,57.4
234,235,NA,Nikkone,Challenger,930,125,58.7
235,236,LAS,Jean el Magro,Challenger,930,121,61.1
236,237,NA,1SkyTec,Challenger,929,144,59.5
237,238,BR,im luciiiiiii,Challenger,929,80,62.0
238,239,OCE,Chazz,Challenger,927,190,53.4
239,240,KR,윤용호,Challenger,926,181,54.5
240,241,OCE,KRAL LEEMAS,Challenger,925,241,53.0
241,242,NA,Swordart77777,Challenger,925,213,53.8
242,243,EUW,TakeSet sama,Challenger,924,285,54.1
243,244,OCE,Getback,Challenger,923,281,51.3
244,245,KR,viper3,Challenger,922,259,53.7
245,246,LAN,Kousëi,Challenger,922,126,64.0
246,247,OCE,leanworld,Challenger,921,148,54.4
247,248,BR,KraTos2,Challenger,920,217,53.8
248,249,EUNE,FROMENXD,Challenger,919,105,56.8
249,250,KR,Gen G Quid,Challenger,918,652,52.1
250,251,KR,Gen G Karis,Challenger,918,308,53.8
251,252,OCE,Desire0 fan,Challenger,918,94,58.8
252,253,BR,not far enough,Challenger,917,131,55.5
253,254,KR,합죽이가 됩씨다,Challenger,916,152,59.6
254,255,OCE,Ascanius,Challenger,915,190,53.2
255,256,KR,서렌누르면대충함,Challenger,914,189,57.4
256,257,KR,쪼렙이다말로하자,Challenger,913,432,52.2
257,258,NA,Draven696969,Challenger,913,208,53.9
258,259,NA,CLG Finn,Challenger,913,157,54.9
259,260,EUNE,Look behind you,Challenger,912,208,53.9
260,261,EUNE,krsan momak,Challenger,911,139,57.4
261,262,NA,Sheiden2,Challenger,911,77,57.5
262,263,BR,bankai,Challenger,910,110,57.0
263,264,KR,cvxnblkwerio,Challenger,910,101,59.1
264,265,EUNE,iga,Challenger,909,163,60.4
265,266,NA,Good Boi,Challenger,908,270,53.4
266,267,KR,안녕 맬,Challenger,908,245,53.6
267,268,EUNE,stefanko,Challenger,908,208,55.6
268,269,EUNE,NoVayneNοGain,Challenger,908,166,55.0
269,270,EUW,Dziadziuś THC,Challenger,908,155,57.8
270,271,BR,Minerva,Challenger,905,378,51.9
271,272,BR,Portuga,Challenger,903,385,52.7
272,273,NA,sleepy links,Challenger,900,303,53.0
273,274,KR,beccazz,Challenger,900,230,56.7
274,275,EUW,Jαvier,Challenger,900,191,56.2
275,276,EUNE,nPiThoyinn,Challenger,900,128,62.4
276,277,BR,Looooook,Challenger,899,360,51.9
277,278,BR,Days4fun,Challenger,898,252,52.0
278,279,EUNE,Mad4life support,Challenger,898,121,58.2
279,280,BR,Synsation rpk,Challenger,897,212,55.1
280,281,NA,LeenK Nirvana,Challenger,897,80,60.2
281,282,KR,asddasadsasd,Challenger,896,314,53.5
282,283,KR,NS Peter,Challenger,896,308,53.0
283,284,KR,bai gei,Challenger,896,158,59.2
284,285,NA,heidy,Challenger,896,121,67.6
285,286,BR,life is better,Challenger,895,88,55.7
286,287,EUW,FLAKKED GODMODE,Challenger,894,503,53.0
287,288,RU,Чёрт Роман,Challenger,894,69,61.1
288,289,JP,TOPTOON96,Challenger,890,100,55.2
289,290,OCE,YoRHa No2 Type E,Challenger,889,211,52.6
290,291,BR,Kennzy,Challenger,888,243,53.2
291,292,EUW,Babus,Challenger,888,209,57.7
292,293,KR,BRO Yaharong,Challenger,885,610,51.9
293,294,BR,Fuuu1,Challenger,885,178,55.8
294,295,BR,FA Ryuujin,Challenger,884,296,53.8
295,296,BR,AIl Míght,Challenger,884,125,58.4
296,297,NA,DÑA,Challenger,883,351,52.5
297,298,KR,shuoIezaijian,Challenger,883,120,65.6
298,299,LAN,Cojudo,Challenger,883,104,61.9
299,300,KR,mm7m,Challenger,881,184,55.6
300,301,BR,gaf1 el loko,Challenger,880,222,53.6
301,302,KR,RIP20201231,Challenger,880,187,55.7
302,303,EUNE,CupOfBunny,Challenger,879,76,57.6
303,304,NA,TECHNOKING44,Challenger,878,268,54.4
304,305,TR,AtaGksall,Challenger,878,101,56.1
305,306,BR,scouting adm,Challenger,876,77,63.1
306,307,NA,TwitchTv Jugttv,Challenger,875,150,55.6
307,308,BR,Joe Hampton,Challenger,875,123,56.7
308,309,NA,aknid,Challenger,874,145,55.6
309,310,NA,Djalal,Challenger,874,133,57.8
310,311,NA,Fizzi LFT,Challenger,873,126,53.8
311,312,KR,kimchi warrior12,Challenger,872,104,63.8
312,313,KR,DYU  wjc,Challenger,871,139,58.4
313,314,JP,よ ね,Challenger,871,121,50.6
314,315,BR,no leash bot,Challenger,870,93,58.1
315,316,OCE,vx1585410146,Challenger,869,207,52.7
316,317,RU,EВATORIA,Challenger,869,164,56.0
317,318,NA,Kyle Manson,Challenger,868,176,57.7
318,319,TR,Morra,Challenger,868,156,56.5
319,320,NA,Strange12,Challenger,867,296,52.9
320,321,NA,Cody Sun,Challenger,867,270,52.4
321,322,NA,dd23438274,Challenger,866,306,54.7
322,323,NA,Sheiden9,Challenger,866,84,58.3
323,324,TR,KusursuzDeğilim,Challenger,865,247,57.4
324,325,BR,Paraìso II,Challenger,865,146,59.8
325,326,KR,ACxiaohao,Challenger,862,223,55.1
326,327,NA,Adrian Riven,Challenger,860,270,53.9
327,328,KR,Octopus1,Challenger,859,439,54.5
328,329,LAS,Yu Nishinoya,Challenger,859,276,53.3
329,330,EUW,midbeast 1000,Challenger,859,152,58.9
330,331,BR,Yupps,Challenger,858,166,54.1
331,332,NA,yuyujijiji,Challenger,856,319,53.3
332,333,KR,킹 갓 황 샘,Challenger,856,270,54.2
333,334,KR,River9,Challenger,853,344,53.1
334,335,OCE,Lived,Challenger,853,234,51.3
335,336,KR,lose jug,Challenger,853,221,56.5
336,337,EUNE,kush uwu,Challenger,853,94,58.8
337,338,KR,래 뚜,Challenger,852,341,53.3
338,339,KR,Small문어,Challenger,852,334,59.6
339,340,TR,no complaints1,Challenger,852,155,53.1
340,341,BR,Atlanta,Challenger,851,129,55.6
341,342,EUW,shothachang,Challenger,850,151,57.4
342,343,EUW,Sοfm Jr,Challenger,850,148,57.6
343,344,EUNE,Izcrets,Challenger,850,146,57.3
344,345,BR,pimpimenta,Challenger,850,119,54.1
345,346,BR,Midphobia,Challenger,850,100,59.2
346,347,NA,MaIthaeI,Challenger,847,123,57.2
347,348,EUW,dark wizard1,Challenger,847,113,57.1
348,349,BR,Tekkas,Challenger,846,486,51.1
349,350,BR,scuro,Challenger,846,252,52.4
350,351,KR,에이미 리아,Challenger,845,455,54.0
351,352,BR,fashionzz,Challenger,845,262,53.1
352,353,EUW,Kieran Tierney,Challenger,844,107,65.6
353,354,LAS,Frescø,Challenger,844,86,62.3
354,355,NA,Feather Daddy,Challenger,843,257,53.1
355,356,EUW,420WeabooSlayer,Challenger,842,401,52.7
356,357,EUW,James Asambi,Challenger,842,162,54.7
357,358,BR,Caitano FA2,Challenger,842,110,58.5
358,359,BR,Tar2an,Challenger,842,107,57.5
359,360,NA,Dhokla,Challenger,841,290,51.5
360,361,KR,별사탕이좋아요,Challenger,841,239,54.6
361,362,NA,find fupo,Challenger,841,182,55.2
362,363,KR,Liiv Effort,Challenger,841,166,56.1
363,364,BR,Skzero,Challenger,840,333,52.0
364,365,BR,kbz,Challenger,840,318,52.5
365,366,NA,Monarch Wings,Challenger,840,113,56.8
366,367,BR,not keio,Challenger,839,99,57.2
367,368,BR,Tïmber,Challenger,838,94,59.1
368,369,EUW,happy luna,Challenger,837,119,57.5
369,370,BR,Arturuzi,Challenger,836,221,52.1
370,371,NA,Kelpo,Challenger,836,150,56.4
371,372,EUNE,EU Domel,Challenger,836,76,56.3
372,373,BR,reverse,Challenger,835,322,52.0
373,374,KR,Poxu,Challenger,835,235,54.3
374,375,NA,Vx Mjm978244659,Challenger,835,152,57.4
375,376,BR,jayce,Challenger,835,97,60.6
376,377,RU,Perseús,Challenger,835,77,59.7
377,378,KR,jkjkjkjkk,Challenger,834,484,51.4
378,379,EUW,pr1meé,Challenger,834,188,57.1
379,380,NA,TWITCHTV DONBRAY,Challenger,834,135,61.6
380,381,OCE,Fistochungus,Challenger,834,100,51.5
381,382,KR,Faime,Challenger,833,397,52.2
382,383,KR,서 두 르 지 마라,Challenger,833,186,56.2
383,384,NA,donbray,Challenger,833,158,56.0
384,385,NA,support12345,Challenger,832,76,53.9
385,386,BR,nafukany1,Challenger,831,319,52.6
386,387,KR,Gen G Peyz,Challenger,830,561,51.7
387,388,RU,ZerooBat,Challenger,830,99,58.2
388,389,BR,Weakside Warlord,Challenger,829,294,56.6
389,390,BR,ROBOCA DE SACOLA,Challenger,829,135,55.1
390,391,BR,TwitchTV Nemotag,Challenger,828,290,52.5
391,392,KR,새벽밤공기밤하늘,Challenger,828,205,54.8
392,393,BR,Milo Fate,Challenger,827,181,53.7
393,394,NA,MASSGAINER44,Challenger,827,130,61.3
394,395,JP,いのり先輩,Challenger,825,137,56.1
395,396,EUNE,Bruisers,Challenger,825,61,62.2
396,397,KR,Yorick,Challenger,824,360,53.1
397,398,BR,Anyyyyyy,Challenger,824,69,60.5
398,399,BR,BONECÃO ABUSER,Challenger,823,139,55.6
399,400,BR,4 17 400,Challenger,823,105,57.1
400,401,BR,qiyanazedzed1,Challenger,822,334,55.1
401,402,BR,Foolishness,Challenger,822,194,64.5
402,403,BR,Zrongos,Challenger,822,175,59.5
403,404,BR,jelp,Challenger,822,116,58.0
404,405,OCE,TwTv Chcknz,Challenger,821,372,51.2
405,406,NA,FG Erry,Challenger,820,186,58.1
406,407,BR,BEENIEZADA,Challenger,820,175,53.4
407,408,BR,Riiquee,Challenger,820,151,55.1
408,409,EUW,Venzerlol,Challenger,820,148,59.9
409,410,EUNE,Dąbek1,Challenger,820,145,56.2
410,411,KR,은가뉴,Challenger,819,151,57.4
411,412,KR,mznzhtfkbjlxkl,Challenger,819,134,56.1
412,413,EUW,I wiIl be høkage,Challenger,818,444,52.7
413,414,BR,twitch thigo111,Challenger,818,204,54.1
414,415,BR,RGW Quellox,Challenger,817,177,53.8
415,416,LAS,ad 2k21,Challenger,817,146,57.9
416,417,KR,kubl,Challenger,816,413,53.3
417,418,NA,GG Yunbee,Challenger,816,334,51.1
418,419,JP,可愛就行了,Challenger,815,187,62.5
419,420,NA,seIfish Ianer,Challenger,815,86,57.7
420,421,KR,헤 돈,Challenger,813,315,53.9
421,422,EUW,Cryin Slayer,Challenger,813,203,56.4
422,423,BR,ZAC 360,Challenger,812,541,51.9
423,424,EUNE,Skánkhùnt42,Challenger,812,163,56.4
424,425,EUNE,Reaver1v9,Challenger,811,383,51.6
425,426,BR,iqowdjqwdoiqwd,Challenger,811,260,55.9
426,427,BR,Caitano FA3,Challenger,811,148,58.7
427,428,EUNE,14letnia emilia,Challenger,810,96,56.5
428,429,BR,1kn0wn,Challenger,809,284,52.2
429,430,EUW,Shikari,Challenger,809,262,53.9
430,431,JP,陪代Vyy864165249,Challenger,809,140,61.7
431,432,NA,Copý,Challenger,809,79,59.8
432,433,TR,Tylle,Challenger,806,223,54.8
433,434,KR,생각 몰라,Challenger,806,136,58.9
434,435,LAN,Bow,Challenger,805,83,58.0
435,436,KR,간다라쿤다,Challenger,804,331,53.1
436,437,NA,CaptBear,Challenger,804,147,57.2
437,438,RU,haunt u,Challenger,804,91,54.5
438,439,TR,Ç E R E Z C İ,Challenger,803,277,64.0
439,440,BR,Caitano FA,Challenger,803,239,53.5
440,441,NA,agorinas,Challenger,803,80,60.2
441,442,EUW,RogueTheKangaroo,Challenger,802,250,56.9
442,443,EUW,Ukazat,Challenger,802,142,57.5
443,444,NA,Kong Wengë,Challenger,801,189,53.5
444,445,EUNE,PolskiKoz,Challenger,801,113,60.1
445,446,EUW,WiIIyrex Fanboy,Challenger,800,458,51.9
446,447,NA,Bangsañity,Challenger,800,345,51.6
447,448,EUW,Next Canyøn,Challenger,800,163,57.0
448,449,EUNE,Moón,Challenger,800,160,56.3
449,450,NA,Sketchdreams,Challenger,800,108,58.4
450,451,BR,nishiyy,Challenger,800,104,58.1
451,452,EUNE,r28Drifter,Challenger,800,78,59.1
452,453,KR,T1 Berserker,Challenger,798,185,54.4
453,454,EUW,Rayito,Challenger,798,146,57.5
454,455,BR,narigudo sagaz,Challenger,798,132,56.9
455,456,EUW,ClickJJ,Challenger,798,96,58.5
456,457,KR,xiaomingaa,Challenger,797,226,54.6
457,458,KR,모든게미안합니다,Challenger,796,598,53.4
458,459,OCE,smurfQQ983127392,Challenger,796,154,54.8
459,460,KR,1xn,Challenger,795,118,63.4
460,461,BR,Vivaldi Spring,Challenger,795,94,56.6
461,462,EUW,xKenzuké,Challenger,794,175,56.8
462,463,NA,Tempest ttv,Challenger,794,101,60.1
463,464,NA,billyyyy,Challenger,794,93,60.4
464,465,KR,못할 때도 있지,Challenger,793,322,53.2
465,466,BR,sorahed,Challenger,793,204,53.3
466,467,OCE,shinsa,Challenger,793,194,54.5
467,468,EUW,Käthe Kollwitz,Challenger,792,245,53.3
468,469,NA,Doublelift,Challenger,792,178,53.3
469,470,KR,asdashgawas,Challenger,792,148,56.3
470,471,KR,sadsadawdwa,Challenger,792,143,57.2
471,472,KR,중년의 활력,Challenger,791,259,55.9
472,473,KR,크림몬,Challenger,791,240,55.6
473,474,NA,boom1boom,Challenger,791,109,58.3
474,475,TR,Kawè,Challenger,789,124,55.9
475,476,BR,musicapdriftvoI3,Challenger,787,104,55.9
476,477,BR,twitchtv dvrlol,Challenger,786,365,51.4
477,478,BR,Nínjá,Challenger,786,321,53.5
478,479,EUW,Annie IRL,Challenger,786,271,53.9
479,480,BR,st1ng23456789,Challenger,786,202,53.3
480,481,LAS,Flovver dance,Challenger,786,64,62.7
481,482,BR,paiN tinownsx,Challenger,784,175,53.8
482,483,EUNE,dragonn74,Challenger,784,128,53.6
483,484,OCE,wx M297864378,Challenger,784,111,54.4
484,485,BR,09042021,Challenger,783,346,53.1
485,486,KR,튀자튀자아,Challenger,782,115,59.3
486,487,KR,wono smite,Challenger,782,110,59.5
487,488,BR,raynon,Challenger,781,128,56.1
488,489,EUNE,Zserap,Challenger,781,117,56.0
489,490,EUW,113 bum,Challenger,780,301,53.8
490,491,BR,anata,Challenger,780,222,51.9
491,492,BR,LuzAzul,Challenger,780,152,57.1
492,493,NA,Gweiss,Challenger,779,260,52.3
493,494,BR,yukilol,Challenger,778,186,53.6
494,495,KR,사랑하지 않아,Challenger,778,174,57.8
495,496,EUNE,Unchiu Ocaust,Challenger,778,121,56.8
496,497,BR,arimoriy,Challenger,777,342,53.2
497,498,BR,Mandioquinhaa,Challenger,777,229,53.0
498,499,LAS,LGANTE x DJ ALEX,Challenger,777,174,54.2
499,500,BR,ff 15,Challenger,777,162,59.3
500,501,KR,미쳐 릴레이 댄스,Challenger,777,153,62.2
